,Sample,Virus,ViralLoad,Province,Status,Race,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
198,12_124,AMFV,32136.88,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,0.218880286,OA,None,None,12
199,12_124,Unc,0,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,0.218880286,OA,None,None,12
200,12_124,thika,0,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,0.218880286,OA,None,None,12
201,12_124,bmlv,1056.27,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,0.218880286,OA,None,None,12
202,12_124,vdv,210404.11,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,0.218880286,OA,None,None,12
203,12_124,dwv,258615.63,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,0.218880286,OA,None,None,12
204,12_125,Unc,0,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,2.190152801,OA,None,None,12
205,12_125,thika,0,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,2.190152801,OA,None,None,12
206,12_125,AMFV,12861.38,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,2.190152801,OA,None,None,12
207,12_125,vdv,60230.08,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,2.190152801,OA,None,None,12
208,12_125,bmlv,2491.78,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,2.190152801,OA,None,None,12
209,12_125,thog,0,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,2.190152801,OA,None,None,12
